text,latitude,longitude
"See our latest #Toronto, ON #job and click to apply: Mobile Developer - https://t.co/KmKbNrvkRL #BusinessMgmt #Hiring #CareerArc",43.653226,-79.3831843
80 more grocery stores in Ontario will be allowed to sell beer and cider this summer. https://t.co/aJop74g1mL,43.64842391,-79.37536382
The Weeknd just shot a music video in Toronto https://t.co/YynUykrAkh,43.64842391,-79.37536382
"This #job might be a great fit for you: barista - Store# 19550, FIRST CANADIAN PLACE - https://t.co/7S5w4v9zPT #Toronto, ON #Veterans",43.653226,-79.3831843
"I'm at Hockey Hall of Fame - @hockeyhallfame in Toronto, ON https://t.co/jsss0tFML3",43.64697445,-79.37732324
Congratulations to Queen Elizabeth II on her Sapphire Jubilee! Celebrate your own special? https://t.co/sZUZ1ohxpa,43.66998,-79.38986
Flash a screen grab of this post and you'll score a soup and sandwich/burger combo for $9.99.? https://t.co/hXPmpFfZmG,43.64957521,-79.37135331
"Want to work in #Toronto, ON? View our latest opening: https://t.co/dXOx9OTGCP #InvestmentBanking #Job #Jobs #Hiring",43.653226,-79.3831843
"Can you recommend anyone for this #job? Product Manager - https://t.co/b7VsmNXLX4 #Marketing #Toronto, ON #Hiring #CareerArc",43.653226,-79.3831843
"If you're looking for work in #Toronto, ON, check out this #job: https://t.co/2lObqeXmYA #cintasjobs #Sales #Hiring #CareerArc",43.653226,-79.3831843
Assault Just Occurred | Bloor St W &amp; Ln N Bloor W Dufferin [11 Div.] 02/06 11:05 #Old_Toronto,43.6702259,-79.3867594
"We're #hiring! Click to apply: Digital Campaign Reporting Analyst - https://t.co/eNRW5y3qb5 #Analytics #Marketing #Toronto, ON #Job #Jobs",43.653226,-79.3831843
The mystery lies within the mirror ?? @ Geary Ave https://t.co/cZ3TK7CG80,43.67131,-79.43012
"We're #hiring! Read about our latest #job opening here: Law Clerk - https://t.co/iwVFlglq9v #Clerical #Toronto, ON #CareerArc",43.6472428,-79.379113
"Ghosts
.
.
.
.
.
#vsco #vscocam #vscogood #vscophile #vscogrid #vscogram #vscorussia #vscodaily? https://t.co/AQ1B6tuPjO",43.651673,-79.3833312
The program's a great idea. Unilingual marketing - not so much.,43.6609476,-79.4125045
"Can you recommend anyone for this #job in #Toronto, ON? https://t.co/ytqF32O3YE #Retail #Hiring #CareerArc",43.653226,-79.3831843
"Interested in a #job in #Toronto, ON? This could be a great fit: https://t.co/IpVCp8KkVh #insurance #IT #Hiring",43.653226,-79.3831843
On the blog (link in bio) sharing my Toronto Tea Festival Experience along with 2 products I? https://t.co/SrpYmaJKFN,43.67176142,-79.38678891
Starting a new week. I wish you have a great one. @ Downtown Toronto https://t.co/LGeoRWJOR9,43.6525,-79.3836
Arrest | Dundas St W &amp; Bathurst St [14 Div.] 02/06 10:57 #Old_Toronto,43.6522892,-79.4060089
Holding Lost Elderly | King St W &amp; Dufferin St [14 Div.] 02/06 10:57 #Old_Toronto,43.6389558,-79.4273471
"This #job might be a great fit for you: Senior Manager Analytics Strategy - https://t.co/MlDjK5VdYr #BusinessMgmt #Toronto, ON #Hiring",43.653226,-79.3831843
I can tell that we are going to be friends #fidgetcube #click #zip? https://t.co/xANNZrUyfL,43.66458891,-79.38048226
"Want to work at John Hancock? We're #hiring in #Toronto, ON! Click for details: https://t.co/mlee9XiTyY #insurance #IT #Job #Jobs",43.653226,-79.3831843
Holding One | Pape Ave &amp; Marjory Ave [55 Div.] 02/06 10:52 #Old_Toronto,43.6683974,-79.3373984
"Interested in a #job in #Toronto, ON? This could be a great fit: https://t.co/l49EajEMcE #Veterans #Hiring #CareerArc",43.653226,-79.3831843
"Someone lost a glove and... Oh Canada ??
#onlyincanada #lostandfound @ Greektown, Toronto https://t.co/eAeJChRsS4",43.6785,-79.3472
"We're #hiring! Read about our latest #job opening here: Shift Supervisor (CA) - https://t.co/BD6z9g8HYs 88 Queens Quay W, #Toronto, ON",43.6409281,-79.3785434
Sheer options for a mudroom. #Roxborough #Rosedale #torontodesigner @ Meredith Heron Design Inc. https://t.co/WCB0fiJuCT,43.67549,-79.40155
"See our latest #Toronto, ON #job and click to apply: Project Manager - Toronto District - https://t.co/HyuoFEmbXF #Construction #Hiring",43.653226,-79.3831843
"Salsify your Monday nights with iFreeStyle.ca from 7-10pm in downtown Toronto ??
7-8pm afrocuban? https://t.co/2kafLn1XDn",43.65035,-79.39
"Rockin' solo acoustic potbellycanada noon till 2 pm Monday, Tuesday and Friday this week! @? https://t.co/DX2IROkwDe",43.64966,-79.37778
"Can you recommend anyone for this #job? Driver_PT Toronto Downtown(Canada) - https://t.co/rpzMYuejEJ #Transportation #Toronto, ON #Hiring",43.653226,-79.3831843
"Street Art, 
#CANADA #Toronto #WalkingAbout #LetMeTakeAPhoto #StreetArt @ Downtown Toronto https://t.co/CVflU33epR",43.6525,-79.3836
Natural Gas Leak | Dovercourt Rd &amp; Dupont St [14 Div.] 02/06 10:43 #Old_Toronto,43.6696978,-79.4327457
