text,latitude,longitude
30% to 70% off this weekend... items such as sandcopenhagen jacket. Come on down..? https://t.co/dnksZUbhnA,43.65522,-79.41628
in the mean while in toronto ? regrann from signsofroncy  -  It's no time to be lurking in the? https://t.co/YGzulKkpqk,43.6519397,-79.40767578
Stop by the shop to see some Brand New adorable accessories and decor like this adventure travel? https://t.co/SIUjr39g8R,43.64488,-79.4132599
"We be like reaching into the weekend.  Hope y'all have a fab one.  
.
.
.
.
.
.
#weekend? https://t.co/aRznA8cN2V",43.6469,-79.41755
"#Goodmorning #Toronto #Sunrise @ King Street West, Toronto https://t.co/HgoU4KT87H",43.64307956,-79.40610303
Pho with a twist! #vietnam #vietnamese #vietgirl #vietnamesefood #vietnamesegirl #vietpride #pho? https://t.co/gmflmNIYD6,43.64549032,-79.41927865
?? @ Bar Isabel https://t.co/Z1yESmwLHM,43.65463,-79.42075
FRIDAY OSSINGTON @ Misfitoss https://t.co/tx6XitdBcn,43.64611,-79.41973
FRIDAY QUEEN @ MISFITSTUDIO https://t.co/4X9wZsdD0J,43.64627,-79.4076
"Hustle for that muscle ???? #Friday #fitness (at @GoodLifeFitness in Toronto, ON) https://t.co/0EpFL3kvT9",43.6401513,-79.41973337
fraksl for android @ McDonald's Canada https://t.co/OIy5Su1oZz,43.6521,-79.40631
Just posted a photo @ McDonald's Canada https://t.co/yCsHvV8eHi,43.6521,-79.40631
Noise Complaint | Niagara St &amp; Walnut Ave [14 Div.] 02/03 02:05 #Old_Toronto,43.643562,-79.409547
Bellwoods Brewery @ Bellwoods Brewery https://t.co/j0VQgPof1I,43.64709,-79.41989
This is exactly why I moved to Toronto. Thank you @campagnoloto for an amazing night of food and? https://t.co/p5q2mzhZNc,43.65176,-79.40951
"#samesame just ?? or ??  ??
.
Look for poses that are similar (up vs down, shoulder vs hip? https://t.co/9QS2IAux2R",43.64293,-79.40674
#tbt to having a shucking great Saturday afternoon with these crazy kids and the crew? https://t.co/WkH29EnBNd,43.64539,-79.41435
???? @jacobwhitesides @ Mod Club Theatre https://t.co/KavOKyaWmh,43.65533375,-79.4191758
"I'm at The Royal Cinema for Groundhog Day in Toronto, ON https://t.co/TeQVJwFvey",43.6551912,-79.41449228
Awesome evening hausmusikto with agturner100 tafelmusikbocc @ The Great Hall Toronto https://t.co/PFGrGbtCSI,43.64330361,-79.42223252
We back. @ Bar Isabel https://t.co/EWCYseGTUw,43.65463,-79.42075
"A Little Tete A Tat !! :) 
It's Not What Or Where, But Who, You Do... It With :))
Throw back to? https://t.co/PimgUcf9LT",43.65463,-79.42075
GIRLS! New collab with brunettethelabel #cominsoon @ 99 Sudbury Lounge https://t.co/XKqqhksz3q,43.64147196,-79.42265082
Looking forward to seeing you... #pasqualinomenswear #menswear #mensstyle #littleitaly? https://t.co/mUmMbtRj2v,43.65522,-79.41628
"Olive oil Poached Albicore Tuna with taggiasche olives, blood orange and fris?e.  A perfect? https://t.co/7zIfziGR4K",43.65176,-79.40951
#biznazz @ Dog &amp; Bear https://t.co/hKJMiJwu6b,43.64361,-79.42291
Robbery | Dundas St W &amp; Nassau St [14 Div.] 02/02 19:42 #Old_Toronto,43.652663,-79.406263
"My favourite dish, in my favourite restaurant. Totally makes up for the cold weather. ??? https://t.co/cMcs4432jp",43.65176,-79.40951
Marinetti. When you're freezing your ass off and you need a little spice in your cocktail? https://t.co/ooPq99OGOw,43.65176,-79.40951
"https://t.co/t8juFRzlnZ
This Weekend!
Fri Feb 3rd
DONNARAMA, Allysin Chaynes, &amp; Helena Poisn at? https://t.co/QhJGHdyz1I",43.65514107,-79.41951115
"We're happy to announce our next workshop, happening in March! Join us for an introduction to? https://t.co/ODBnZHWA8g",43.6517792,-79.4094162
"Drink of the night: Orange Kafir Lime Syrup, Bourbon, Vermouth and Nutmeg Bitters. We're calling? https://t.co/t4hOAZsSMP",43.64479283,-79.41627131
"Pre work out. (@ Rudy in Toronto, ON) https://t.co/mqou05lMY3 https://t.co/I4bpIVgQUn",43.65515815,-79.4146058
The minor arthritis isn't holding me back...yet ?? #workout #gym #barre #stretch #fitness @? https://t.co/49uJyOjw2U,43.64729742,-79.40296113
The minor arthritis isn't holding me back...yet ?? #flexibility? https://t.co/UWMPaUSTn0,43.64729742,-79.40296113
Save 15% off your entire Spot on Square Furniture order! Sale runs February 3rd to February 12.? https://t.co/3CEP361e8O,43.64488,-79.4132599
"See our latest 542 College St, #Toronto, ON #job and click to apply: Shift Supervisor (CA) - https://t.co/u6om9sO3D0 #Hospitality #Veterans",43.655831,-79.411581
Taxi Alarm | Bathurst St &amp; Dundas St W [14 Div.] 02/02 18:13 #Old_Toronto,43.6522892,-79.4060089
These On Repeat Any Day ??#GroundHogDay @ Entice Culinary Lounge https://t.co/IXQ9JW3sqn,43.64394947,-79.4202051
New A.P.C. SS17 now available in-store...online coming soon #apc #nomadtoronto @ Nomad https://t.co/Y4WVWe1kGh,43.64593,-79.40916
I also play drums and sing a little in a band called Broomsticks &amp; Hammers. We're playing at the? https://t.co/Jw4T9G5O5q,43.64966797,-79.42086896
"DO IT! ?????

@MWFB_OSC sick mural outside the shop. @ Village Pizza Dundas https://t.co/JvZu2GwrhW",43.65201,-79.40668
@LoftHairLounge #blondehairdontcare by timothymeerman #redkencertifiedcolorist &amp;? https://t.co/tGgAJa3mZ2,43.64672,-79.40327
"ALL AGES PARTY ???? Yes, its a turn up flex LIVE tomorrow night @ Revival Bar 783 College St. ~? https://t.co/DfjE7S4lMl",43.65468,-79.41995
I'm at @OldSchoolYyz in Toronto https://t.co/gcz4HSHYx1,43.65182986,-79.40861653
????ATTENTION????Each and every Friday come see my beautiful ladies? https://t.co/aAn9z7OkN9,43.65536533,-79.41233837
And one asks oneself where are one?s dreams. And one shakes one?s head and says how rapidly the? https://t.co/c1FlObh410,43.6478,-79.4142
It's back ??????? #BALLETISH requires pre-registration! reserve your? https://t.co/wBiCoVfPav,43.64611,-79.41973
Learn to Make Buttercream Florals in our Masterclass this Sunday at 2pm with Chef Lindsey??????By? https://t.co/yOwP0NdoUL,43.65048,-79.41585
"BAILANDO This Weekend Inside #themotherhouse 
Fri Feb 3rd
https://t.co/t8juFRQWfx
DONNARAMA,? https://t.co/oIFMhUosqw",43.65514107,-79.41951115
"See our latest #Toronto, ON #job and click to apply: Shift Supervisor (CA) - https://t.co/wvz7l3RfM0 #Hospitality #Veterans #Hiring",43.6399189,-79.4195833
#tbt Creating art at a recent photoshoot with bettyruthless. Good? https://t.co/0yGzM8dQG1,43.64638,-79.40234
"Interested in a #job in 680 College St, #Toronto, ON? This could be a great fit: https://t.co/ST6gb6c95g #Hospitality #Veterans #Hiring",43.655305,-79.417223
"876studio@MAY presents The BAR Institute. 876 Dundas Street West Toronto.

Introducing the? https://t.co/lH1aoBWD6h",43.65138,-79.41134
"In February, crop tops are wardrobe staple ????
.
.
.
.
.
#blogger #winter #instastyle #ootd? https://t.co/qbiTtPB3t0",43.64007,-79.41982
Will miracles never cease! I never would have thought to see the day where these two would be? https://t.co/HDPF0iNCQ2,43.64373,-79.42228
"Please Welcome: Elizabeth Hunt-Schibler (Lizz) - Clinic Manager
She may be a rookie to the Chiro? https://t.co/dMtw2YVaos",43.6475,-79.4196
Just a quick reminder that our store hours have changed for the remainder of the winter..? https://t.co/oVBluSaKNh,43.65522,-79.41628
"We are the Bang Fitness Powerlifting Club and we love Deadlifts!

Most of these lifters (And? https://t.co/k6u77ZxA4v",43.64710053,-79.40462717
"About last night with @EYHOSvetty. 
regrann from seanclarkmaclean -  I did a thing ?????? -? https://t.co/YXsVygRTXP",43.6477999,-79.40447
"?love letters, ransom
notes and protest poems... wrapped
in leopard print hope?
-
#tonight? https://t.co/DPnHaCS0I1",43.64966797,-79.42086896
in #getworked we get really good at push-ups without actually doing? https://t.co/EmM2WFPqCw,43.64627,-79.4076
Start the morning off right with a TEAlicious Matcha Latte ???? at @Jimmyscoffee - Made with our? https://t.co/0pvAd5P4ir,43.6446114,-79.4186783
This is the real flavortown @ Hanmoto https://t.co/l8p1tm2lHP,43.64952429,-79.42278783
????February's Display is brought to you by the incomparable @jchiale with jewellery by? https://t.co/N3dqKubMu3,43.64505,-79.41476
@Lofthairlounge who's excited for the return of #fashionweek in tfw #toronto . Hair by key? https://t.co/jra3YRmt8v,43.64672,-79.40327
Just daydreaming... #pasqualinomenswear #menswear #mensstyle #littleitaly https://t.co/u3w51SMQgz @? https://t.co/y6BQs7yo4s,43.65522,-79.41628
"Kyan's fever is down, and his suckiness is waaay up ?? I am NOT leaving the house today if I can? https://t.co/UcBwH2pbo9",43.64373,-79.42228
Come get a blowout with FredericBataclan anytime this Month and receive a free in salon? https://t.co/b4VVkIJJDN,43.64672,-79.40327
"Farihah Aliyah Shah, Laden Hands, from Billie Said 'Strange Fruit' @youngplaceto (FL2) @? https://t.co/KPQZQL8VZc",43.6469,-79.41755
Congrats Kiera! You've won our monthly draw for January! Come pick up your goodies at Loft Hair? https://t.co/iOAh8vVg2J,43.64672,-79.40327
#tbt to a lot less seating. Now we even have a table that can accommodate your group up to 8!? https://t.co/BVlGFYdVs6,43.64718,-79.42007
"January ??#StriveLifeCup sophieilio 
Big start to 2017 and over a year strong with the Home Team,? https://t.co/k5MtRwLonT",43.64466068,-79.41097613
?Flawless colour correction using @lanza our amazing lil stylist Brittany sparks_brittanyk !? https://t.co/0nGusq19KU,43.64153454,-79.41453764
We think every day should be filled with love. Come pick up some cute stuff at our shop or Union? https://t.co/aszWzHkvm7,43.65048,-79.41585
